Age,AcademicPressure,WorkPressure,CGPA,StudySatisfaction,Work/StudyHours,FinancialStress,Stress_Index,Gender_Female,Gender_Male,SleepDuration_5-6hours,SleepDuration_7-8hours,SleepDuration_Lessthan5hours,SleepDuration_Morethan8hours,DietaryHabits_Healthy,DietaryHabits_Moderate,DietaryHabits_Unhealthy,Haveyoueverhadsuicidalthoughts?_No,Haveyoueverhadsuicidalthoughts?_Yes,FamilyHistoryofMentalIllness_No,FamilyHistoryofMentalIllness_Yes,target
32,3,0,8.04,2,10,5.0,4.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
23,1,0,8.52,1,12,4.0,2.5,0,1,1,0,0,0,0,0,1,0,1,0,1,1
21,5,0,5.74,1,10,4.0,4.5,0,1,0,1,0,0,0,1,0,0,1,0,1,1
29,1,0,8.07,3,1,3.0,2.0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
27,3,0,6.78,3,5,4.0,3.5,0,1,0,1,0,0,1,0,0,0,1,0,1,1
32,3,0,5.56,4,1,5.0,4.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
28,5,0,9.84,2,7,5.0,5.0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
31,3,0,6.08,1,9,3.0,3.0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
30,3,0,7.88,5,4,2.0,2.5,0,1,1,0,0,0,1,0,0,1,0,0,1,0
31,3,0,6.78,4,2,4.0,3.5,1,0,0,0,0,1,0,0,1,0,1,1,0,1
28,5,0,6.16,3,4,5.0,5.0,0,1,0,0,1,0,0,0,1,0,1,1,0,1
31,3,0,7.25,4,9,3.0,3.0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
22,3,0,5.56,2,10,2.0,2.5,1,0,0,0,0,1,0,0,1,1,0,0,1,1
28,1,0,5.38,2,5,2.0,1.5,0,1,0,1,0,0,0,0,1,0,1,0,1,0
33,1,0,7.83,2,11,2.0,1.5,1,0,0,1,0,0,1,0,0,1,0,0,1,0
31,2,0,7.77,3,2,4.0,3.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
27,4,0,8.93,4,3,3.0,3.5,0,1,0,0,1,0,0,1,0,0,1,0,1,1
20,3,0,9.63,4,4,5.0,4.0,0,1,0,0,1,0,0,0,1,0,1,1,0,1
20,5,0,5.65,5,4,3.0,4.0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
32,3,0,7.46,5,8,5.0,4.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
28,4,0,8.0,4,11,5.0,4.5,1,0,0,0,1,0,0,0,1,0,1,0,1,1
19,5,0,7.88,4,12,3.0,4.0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
19,3,0,8.96,5,7,4.0,3.5,0,1,0,0,1,0,0,0,1,0,1,0,1,0
25,3,0,10.0,3,10,3.0,3.0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
28,5,0,6.37,3,11,2.0,3.5,0,1,0,1,0,0,0,0,1,0,1,0,1,1
32,3,0,6.79,5,7,2.0,2.5,1,0,0,1,0,0,1,0,0,1,0,0,1,1
21,4,0,9.84,2,7,1.0,2.5,1,0,1,0,0,0,0,1,0,1,0,1,0,0
23,3,0,9.93,1,8,2.0,2.5,0,1,0,1,0,0,0,0,1,0,1,0,1,1
33,3,0,6.23,5,3,3.0,3.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
34,1,0,9.69,3,9,3.0,2.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
20,4,0,7.38,1,11,5.0,4.5,0,1,0,1,0,0,0,1,0,0,1,1,0,1
19,1,0,9.46,3,1,5.0,3.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
27,1,0,8.91,1,5,3.0,2.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
28,4,0,5.9,5,4,4.0,4.0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
20,1,0,7.22,4,8,1.0,1.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
23,3,0,6.89,2,4,5.0,4.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
21,1,0,6.16,3,9,1.0,1.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
26,1,0,8.54,2,10,5.0,3.0,0,1,0,0,0,1,1,0,0,0,1,1,0,1
28,2,0,7.04,4,6,4.0,3.0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
19,4,0,7.25,2,12,1.0,2.5,1,0,1,0,0,0,0,1,0,1,0,1,0,1
22,3,0,8.04,5,7,1.0,2.0,1,0,0,0,1,0,0,0,1,0,1,0,1,1
33,1,0,9.71,5,10,1.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
33,1,0,6.61,5,0,2.0,1.5,0,1,0,0,1,0,1,0,0,1,0,1,0,0
27,3,0,6.51,1,12,1.0,2.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
32,3,0,5.77,1,5,5.0,4.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
24,5,0,5.56,3,0,5.0,5.0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
24,3,0,8.09,2,2,5.0,4.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
32,2,0,9.56,2,3,1.0,1.5,0,1,0,1,0,0,1,0,0,1,0,1,0,0
33,2,0,7.94,4,10,2.0,2.0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
29,1,0,7.09,3,12,1.0,1.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
33,1,0,9.44,1,4,5.0,3.0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
29,3,0,8.53,4,12,4.0,3.5,0,1,0,1,0,0,0,1,0,0,1,1,0,0
24,5,0,9.91,1,0,5.0,5.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
18,1,0,7.08,4,4,1.0,1.0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
21,5,0,9.79,1,8,5.0,5.0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
23,4,0,7.5,4,5,2.0,3.0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
27,2,0,7.04,2,2,5.0,3.5,0,1,0,1,0,0,1,0,0,1,0,1,0,0
18,4,0,5.88,1,8,4.0,4.0,0,1,0,0,0,1,1,0,0,0,1,1,0,1
19,3,0,7.13,5,7,3.0,3.0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
33,2,0,9.89,1,8,3.0,2.5,0,1,0,0,1,0,0,0,1,1,0,1,0,0
25,3,0,5.85,5,12,4.0,3.5,0,1,1,0,0,0,0,1,0,0,1,1,0,1
19,4,0,8.54,2,12,2.0,3.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
31,3,0,5.76,4,10,3.0,3.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
20,2,0,9.46,4,8,4.0,3.0,0,1,0,0,0,1,0,1,0,0,1,0,1,1
24,1,0,9.6,2,3,3.0,2.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
29,3,0,9.54,5,6,4.0,3.5,1,0,0,1,0,0,0,0,1,0,1,1,0,1
32,4,0,5.64,5,11,1.0,2.5,0,1,1,0,0,0,1,0,0,1,0,1,0,0
32,4,0,9.74,1,12,5.0,4.5,1,0,0,0,1,0,1,0,0,0,1,0,1,1
23,1,0,6.89,2,8,1.0,1.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
29,3,0,7.04,5,11,1.0,2.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
26,1,0,7.8,2,11,1.0,1.0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
25,1,0,8.47,2,9,2.0,1.5,1,0,1,0,0,0,0,0,1,0,1,1,0,1
29,5,0,8.74,2,9,3.0,4.0,1,0,0,0,1,0,1,0,0,0,1,1,0,1
26,2,0,7.5,2,11,1.0,1.5,1,0,1,0,0,0,0,1,0,1,0,0,1,0
18,3,0,8.04,4,4,1.0,2.0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
20,4,0,8.04,1,9,2.0,3.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
33,3,0,9.17,4,1,2.0,2.5,0,1,0,1,0,0,1,0,0,1,0,0,1,0
24,2,0,7.04,3,8,5.0,3.5,0,1,0,1,0,0,0,0,1,0,1,1,0,1
23,3,0,9.96,3,2,3.0,3.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
34,4,0,8.27,2,9,4.0,4.0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
19,5,0,7.87,4,2,5.0,5.0,0,1,0,0,0,1,1,0,0,0,1,0,1,1
29,2,0,9.67,2,3,4.0,3.0,1,0,0,0,1,0,0,0,1,0,1,0,1,1
33,1,0,9.43,4,10,1.0,1.0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
19,3,0,6.73,1,12,5.0,4.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
28,5,0,5.08,2,6,3.0,4.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
26,3,0,5.57,4,10,4.0,3.5,0,1,0,1,0,0,0,0,1,0,1,1,0,1
29,3,0,5.76,2,4,4.0,3.5,1,0,0,0,1,0,1,0,0,0,1,1,0,1
28,4,0,8.59,1,8,2.0,3.0,1,0,0,0,0,1,0,1,0,0,1,1,0,1
34,1,0,7.15,5,10,4.0,2.5,0,1,0,0,1,0,0,1,0,1,0,0,1,0
22,5,0,5.75,1,10,5.0,5.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
24,1,0,5.27,1,2,5.0,3.0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
20,4,0,6.17,3,0,4.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
26,4,0,6.25,2,12,4.0,4.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
24,5,0,6.38,5,4,5.0,5.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
24,3,0,7.8,1,1,5.0,4.0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
31,1,0,9.87,4,10,3.0,2.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
26,3,0,8.95,5,2,1.0,2.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
28,5,0,8.5,2,8,1.0,3.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
20,2,0,5.74,4,10,1.0,1.5,1,0,1,0,0,0,1,0,0,1,0,0,1,0
27,4,0,5.67,1,6,4.0,4.0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
29,4,0,7.88,2,4,5.0,4.5,1,0,0,1,0,0,0,0,1,0,1,0,1,1
19,4,0,8.81,1,11,5.0,4.5,1,0,0,0,0,1,0,1,0,0,1,1,0,1
25,5,0,6.21,5,10,5.0,5.0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
21,2,0,8.28,2,8,5.0,3.5,1,0,0,0,1,0,0,0,1,0,1,1,0,1
24,3,0,6.89,4,8,4.0,3.5,1,0,0,0,1,0,0,1,0,1,0,0,1,0
33,4,0,7.51,3,12,1.0,2.5,0,1,0,0,1,0,1,0,0,0,1,1,0,1
25,3,0,9.84,3,7,4.0,3.5,0,1,0,1,0,0,0,1,0,1,0,0,1,0
24,3,0,6.02,2,8,2.0,2.5,1,0,0,1,0,0,0,1,0,1,0,1,0,0
25,3,0,8.52,1,2,2.0,2.5,1,0,0,0,1,0,0,0,1,0,1,0,1,1
23,2,0,8.29,4,3,1.0,1.5,0,1,0,1,0,0,1,0,0,0,1,0,1,1
27,2,0,9.19,5,4,5.0,3.5,0,1,0,1,0,0,0,1,0,0,1,0,1,1
34,4,0,7.94,2,10,2.0,3.0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
30,5,0,7.53,1,2,2.0,3.5,1,0,0,0,1,0,0,0,1,1,0,0,1,1
31,3,0,8.95,2,2,2.0,2.5,0,1,0,0,1,0,0,1,0,1,0,0,1,0
27,1,0,9.71,5,10,5.0,3.0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
33,4,0,6.63,5,6,4.0,4.0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
28,5,0,9.88,5,12,5.0,5.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1
24,2,0,6.37,4,10,5.0,3.5,0,1,0,1,0,0,0,0,1,0,1,0,1,1
21,5,0,6.99,2,10,4.0,4.5,0,1,0,1,0,0,0,0,1,1,0,0,1,1
28,5,0,8.89,1,10,4.0,4.5,1,0,1,0,0,0,1,0,0,0,1,1,0,1
28,5,0,7.09,3,5,3.0,4.0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
29,4,0,5.39,4,7,5.0,4.5,0,1,0,0,0,1,0,0,1,1,0,1,0,1
26,4,0,8.17,1,5,5.0,4.5,1,0,0,0,0,1,0,0,1,1,0,1,0,1
26,2,0,6.38,4,9,1.0,1.5,1,0,1,0,0,0,1,0,0,0,1,0,1,0
20,4,0,7.52,4,11,5.0,4.5,1,0,0,0,1,0,1,0,0,0,1,1,0,1
23,5,0,8.78,1,6,3.0,4.0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
29,2,0,5.56,5,3,1.0,1.5,0,1,0,0,0,1,0,1,0,0,1,1,0,0
20,3,0,6.27,3,12,4.0,3.5,1,0,0,1,0,0,1,0,0,0,1,0,1,1
27,1,0,9.13,2,4,4.0,2.5,1,0,0,1,0,0,0,0,1,0,1,1,0,0
27,1,0,5.89,4,12,3.0,2.0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
29,2,0,9.86,4,3,4.0,3.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
33,5,0,5.11,1,7,4.0,4.5,1,0,0,0,0,1,0,0,1,1,0,0,1,0
24,4,0,9.86,1,12,5.0,4.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
23,1,0,9.84,2,3,2.0,1.5,1,0,0,1,0,0,0,1,0,1,0,0,1,0
25,1,0,9.5,1,10,2.0,1.5,0,1,1,0,0,0,0,0,1,1,0,1,0,1
25,3,0,7.53,4,10,1.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
28,5,0,5.77,4,5,1.0,3.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
29,5,0,6.63,3,12,4.0,4.5,1,0,0,1,0,0,1,0,0,1,0,0,1,0
24,2,0,7.38,5,12,5.0,3.5,0,1,0,0,1,0,0,0,1,1,0,0,1,1
33,1,0,5.87,1,10,3.0,2.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
23,3,0,8.27,2,9,5.0,4.0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
20,3,0,6.39,5,10,3.0,3.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
33,1,0,5.85,5,7,2.0,1.5,0,1,0,0,0,1,0,0,1,1,0,0,1,0
33,3,0,5.68,4,9,4.0,3.5,0,1,0,0,1,0,0,0,1,0,1,0,1,1
25,5,0,7.48,4,6,3.0,4.0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
32,4,0,9.21,1,4,5.0,4.5,1,0,0,1,0,0,1,0,0,1,0,0,1,1
27,5,0,6.99,2,10,4.0,4.5,0,1,0,0,0,1,0,1,0,0,1,0,1,1
30,4,0,7.24,1,3,5.0,4.5,0,1,0,0,1,0,0,0,1,0,1,0,1,1
18,5,0,8.69,4,9,4.0,4.5,1,0,0,0,0,1,0,0,1,0,1,1,0,1
24,1,0,9.86,4,3,4.0,2.5,1,0,0,0,0,1,0,1,0,1,0,0,1,0
20,3,0,9.24,1,12,1.0,2.0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
24,3,0,8.89,5,3,5.0,4.0,1,0,0,0,0,1,0,0,1,0,1,0,1,1
27,1,0,8.25,3,10,4.0,2.5,1,0,0,0,1,0,0,0,1,0,1,1,0,1
23,4,0,8.96,1,10,2.0,3.0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
30,5,0,9.41,5,12,5.0,5.0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
30,5,0,5.56,1,5,5.0,5.0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
32,3,0,9.97,5,12,1.0,2.0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
24,5,0,5.47,4,8,2.0,3.5,1,0,0,0,0,1,0,0,1,0,1,0,1,1
31,4,0,9.39,5,5,1.0,2.5,0,1,0,0,1,0,1,0,0,0,1,1,0,1
30,3,0,7.82,3,0,5.0,4.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
33,3,0,7.52,5,0,1.0,2.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
24,5,0,8.9,2,6,4.0,4.5,1,0,0,0,0,1,1,0,0,0,1,0,1,1
33,3,0,8.95,4,11,3.0,3.0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
29,1,0,6.29,5,8,2.0,1.5,0,1,0,0,1,0,0,0,1,0,1,0,1,1
25,5,0,9.44,2,9,4.0,4.5,1,0,0,0,0,1,0,1,0,0,1,0,1,1
27,4,0,9.25,2,10,3.0,3.5,1,0,1,0,0,0,0,1,0,0,1,1,0,1
31,4,0,5.88,5,4,1.0,2.5,0,1,0,0,0,1,0,0,1,1,0,0,1,0
29,5,0,7.74,4,11,5.0,5.0,0,1,0,0,0,1,0,1,0,0,1,1,0,1
29,4,0,9.94,1,11,4.0,4.0,0,1,0,1,0,0,0,0,1,1,0,1,0,1
20,2,0,9.79,4,7,4.0,3.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
27,5,0,5.84,2,10,5.0,5.0,0,1,1,0,0,0,0,1,0,1,0,0,1,1
18,5,0,9.86,4,10,1.0,3.0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
23,1,0,9.56,1,9,5.0,3.0,1,0,0,1,0,0,1,0,0,0,1,1,0,1
20,5,0,7.46,2,8,4.0,4.5,0,1,0,0,1,0,1,0,0,1,0,1,0,1
24,1,0,9.93,1,10,4.0,2.5,0,1,0,1,0,0,0,0,1,0,1,1,0,1
26,3,0,8.75,4,1,1.0,2.0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
34,3,0,9.21,2,5,4.0,3.5,1,0,0,1,0,0,1,0,0,0,1,0,1,1
19,4,0,7.77,2,10,3.0,3.5,0,1,1,0,0,0,0,1,0,0,1,1,0,1
24,2,0,6.37,4,1,2.0,2.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
19,4,0,5.41,3,11,5.0,4.5,1,0,0,0,1,0,0,0,1,0,1,0,1,1
22,3,0,6.85,2,8,3.0,3.0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
27,1,0,7.25,3,9,2.0,1.5,0,1,0,1,0,0,1,0,0,1,0,0,1,0
34,3,0,5.12,4,5,4.0,3.5,0,1,0,0,0,1,1,0,0,0,1,1,0,1
29,5,0,6.79,5,12,4.0,4.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
19,4,0,5.74,5,9,1.0,2.5,0,1,0,1,0,0,1,0,0,1,0,1,0,0
33,2,0,9.24,2,4,4.0,3.0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
34,2,0,6.99,4,12,2.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
28,4,0,8.52,1,7,2.0,3.0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
32,3,0,6.16,5,11,2.0,2.5,0,1,0,0,0,1,1,0,0,1,0,0,1,0
24,5,0,6.38,4,8,3.0,4.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
18,3,0,6.41,4,7,1.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
22,4,0,6.27,4,10,3.0,3.5,0,1,1,0,0,0,0,1,0,0,1,1,0,1
28,1,0,7.04,5,5,5.0,3.0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
25,2,0,9.89,5,3,4.0,3.0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
23,2,0,8.9,3,10,5.0,3.5,0,1,1,0,0,0,0,1,0,0,1,0,1,1
18,5,0,8.95,4,10,5.0,5.0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
20,5,0,6.21,3,1,5.0,5.0,1,0,0,0,0,1,0,1,0,1,0,0,1,1
30,5,0,5.68,4,10,4.0,4.5,0,1,0,0,1,0,1,0,0,0,1,1,0,1
30,3,0,9.71,2,10,5.0,4.0,1,0,0,0,1,0,0,0,1,0,1,1,0,1
22,2,0,7.92,4,12,4.0,3.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
31,3,0,5.85,3,6,5.0,4.0,0,1,0,0,1,0,0,0,1,1,0,0,1,1
25,1,0,7.25,5,4,4.0,2.5,1,0,1,0,0,0,0,1,0,1,0,1,0,0
20,3,0,8.52,1,11,4.0,3.5,0,1,0,0,0,1,0,0,1,0,1,0,1,1
22,5,0,7.22,1,11,3.0,4.0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
26,4,0,8.56,1,12,4.0,4.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
32,3,0,8.91,1,5,2.0,2.5,0,1,0,0,1,0,0,0,1,0,1,0,1,1
26,3,0,5.14,3,12,1.0,2.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
29,3,0,7.53,4,0,1.0,2.0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
28,4,0,8.58,1,11,4.0,4.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
21,1,0,9.82,5,2,3.0,2.0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
20,2,0,9.24,4,1,4.0,3.0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
25,3,0,7.47,3,2,2.0,2.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
19,3,0,9.36,3,10,1.0,2.0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
25,1,0,7.22,3,4,4.0,2.5,1,0,0,0,1,0,0,0,1,1,0,0,1,0
21,3,0,6.85,2,3,3.0,3.0,0,1,1,0,0,0,0,1,0,0,1,1,0,1
18,5,0,8.52,4,10,5.0,5.0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
34,2,0,5.08,2,1,5.0,3.5,1,0,0,1,0,0,1,0,0,1,0,0,1,0
29,4,0,7.94,5,10,3.0,3.5,1,0,0,0,0,1,0,1,0,1,0,0,1,0
21,1,0,9.88,3,12,1.0,1.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
33,2,0,6.81,4,8,5.0,3.5,1,0,1,0,0,0,0,1,0,0,1,1,0,1
24,5,0,9.79,2,7,5.0,5.0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
29,2,0,5.86,2,11,3.0,2.5,0,1,0,1,0,0,0,1,0,1,0,0,1,0
20,1,0,9.41,4,1,1.0,1.0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
32,4,0,8.5,2,12,5.0,4.5,0,1,0,1,0,0,0,0,1,0,1,1,0,1
26,5,0,5.75,2,7,3.0,4.0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
28,5,0,7.77,2,11,4.0,4.5,1,0,0,1,0,0,1,0,0,0,1,0,1,1
28,5,0,9.37,2,9,5.0,5.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
28,5,0,9.97,2,11,3.0,4.0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
25,3,0,8.74,3,0,1.0,2.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
30,5,0,9.71,2,9,5.0,5.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
29,3,0,7.04,2,5,4.0,3.5,0,1,0,0,1,0,0,0,1,1,0,1,0,1
19,5,0,9.63,2,8,5.0,5.0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
28,5,0,5.8,5,10,3.0,4.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
19,3,0,5.89,4,9,1.0,2.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
28,4,0,9.84,3,3,2.0,3.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
32,5,0,5.85,3,11,5.0,5.0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
23,4,0,5.76,2,5,1.0,2.5,0,1,0,0,0,1,0,0,1,0,1,0,1,1
29,5,0,8.59,5,6,4.0,4.5,1,0,0,0,0,1,0,0,1,0,1,0,1,1
26,1,0,7.7,4,12,4.0,2.5,0,1,1,0,0,0,1,0,0,1,0,0,1,0
22,1,0,9.17,3,0,2.0,1.5,0,1,1,0,0,0,0,1,0,0,1,0,1,0
31,1,0,5.56,4,10,4.0,2.5,1,0,1,0,0,0,1,0,0,0,1,0,1,1
23,1,0,7.48,3,11,1.0,1.0,1,0,0,0,1,0,0,1,0,1,0,0,1,1
18,3,0,5.03,5,12,5.0,4.0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
19,3,0,8.96,3,12,5.0,4.0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
31,5,0,8.91,3,0,4.0,4.5,0,1,0,0,1,0,0,0,1,0,1,1,0,1
21,5,0,8.13,5,2,4.0,4.5,0,1,0,0,0,1,0,1,0,1,0,0,1,1
25,3,0,8.98,5,10,4.0,3.5,0,1,0,0,0,1,0,1,0,0,1,0,1,1
33,2,0,5.16,4,5,5.0,3.5,1,0,0,0,0,1,1,0,0,1,0,1,0,0
28,3,0,5.77,2,11,1.0,2.0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
18,4,0,7.02,2,5,5.0,4.5,0,1,1,0,0,0,0,0,1,1,0,0,1,1
26,3,0,7.04,2,11,5.0,4.0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
20,1,0,6.0,4,6,1.0,1.0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
28,5,0,8.59,5,4,4.0,4.5,1,0,0,0,0,1,1,0,0,1,0,0,1,1
18,2,0,9.71,1,9,4.0,3.0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
31,3,0,9.31,1,3,2.0,2.5,0,1,1,0,0,0,1,0,0,1,0,1,0,1
20,5,0,6.79,4,6,5.0,5.0,0,1,0,0,0,1,0,1,0,0,1,0,1,1
33,5,0,9.96,1,10,1.0,3.0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
21,3,0,9.95,1,11,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
29,3,0,8.52,1,3,4.0,3.5,0,1,1,0,0,0,0,1,0,0,1,1,0,1
33,2,0,7.72,4,3,2.0,2.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
31,2,0,8.04,3,2,1.0,1.5,0,1,0,1,0,0,0,1,0,1,0,0,1,0
24,4,0,5.64,5,5,5.0,4.5,1,0,0,0,1,0,0,0,1,0,1,1,0,1
19,2,0,5.45,5,12,4.0,3.0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
25,3,0,6.29,1,10,2.0,2.5,0,1,0,0,1,0,1,0,0,0,1,0,1,1
19,5,0,8.95,4,4,2.0,3.5,1,0,0,1,0,0,1,0,0,0,1,1,0,1
34,3,0,8.28,1,10,5.0,4.0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
19,2,0,7.09,4,11,1.0,1.5,0,1,0,1,0,0,1,0,0,1,0,0,1,0
24,1,0,9.95,2,0,1.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
18,4,0,7.9,1,3,3.0,3.5,1,0,0,1,0,0,0,1,0,0,1,0,1,1
20,2,0,8.95,3,9,4.0,3.0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
34,1,0,8.59,2,11,5.0,3.0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
31,3,0,7.1,4,10,5.0,4.0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
20,5,0,6.02,3,9,5.0,5.0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
18,5,0,6.78,5,10,5.0,5.0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
